from,to,distance
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones/Rolling Stones Old HR/Stones Thumbs/Mick_Comp_sm_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones/Stones RAW/NW9M5355.webp,0.805143
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/CRW_3137.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Resource Fair RAW/CRW_2060.webp,0.805136
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//05-06 Basketball/UVa - Wake Forest/NW9M1160.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//05-06 Basketball/UVa Miami/NW9M0651.webp,0.805041
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Classroom Shots 4-27 RAW/CRW_2677.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/BOV 6-2005/BOV 6-9 RAW/NW9M4020.webp,0.805038
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/More Spring 05/More Spring 05 RAW/CRW_1335.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Storm 7-05/Storm 7-05 RAW/NW9M7902.webp,0.804983
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/More Spring 05/More Spring 05 RAW/CRW_1335.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Storm 7-05/NW9M7902.webp,0.804983
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_4270.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_4267.webp,0.804983
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/1st Day of Class Fall 05/NW9M1101.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/Casteen Black Ribbons Speach/NW9M3726.webp,0.804965
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/1st Day of Class Fall 05/1st Day 05 RAW/NW9M1101.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/Casteen Black Ribbons Speach/NW9M3726.webp,0.804965
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Grounds spr 05/Spring 05 RAW/CRW_9322.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/More Spring 05/Tulip 05 DA.webp,0.804946
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Buildings on Grounds/CRW_0560.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Buildings on Grounds/CRW_0559.webp,0.804941
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/McIntire Ground Breaking 4-15/McIntire Ground Breaking RAW/CRW_1559.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/McIntire Ground Breaking 4-15/McIntire Ground Breaking RAW/CRW_1494.webp,0.804919
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3437.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3415.webp,0.804840
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/BlurRidgeHosp/Blue Ridge Hos RAW/NW9M0256.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/9-1-05 - Students Lampkin Pav III RAW/9-1-05 RAW/NW9M1495.webp,0.804772
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Lunch Room/NW9M0394.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 8-05/Engineering Invention/NW9M1301.webp,0.804757
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Lighting of the Lawn 2005/NW9M0074.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Lighting of the Lawn 2005/NW9M0012.webp,0.804753
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 DA/NW9M2604.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_4180.webp,0.804737
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/ecoMOD Install/NW9M2156.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/ecoMOD Install/NW9M2154.webp,0.804715
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/ecoMOD Install/NW9M2154.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/ecoMOD Install/NW9M2156.webp,0.804715
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Fall Grounds 2005/NW9M8555.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 11-05/Fall Grounds 2005/NW9M8580.webp,0.804682
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones Pre Show Press Conf/NW9M5166.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Stones Pre Show Press Conf/NW9M5187.webp,0.804679
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/BlurRidgeHosp/Blue Ridge Hos RAW/NW9M0210.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/BlurRidgeHosp/Blue Ridge Hos RAW/NW9M0209.webp,0.804600
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/Doris Wilsdorf/Doris_Wilsdorf_01a_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//05-06 Basketball/UVa Miami/NW9M0631.webp,0.804581
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_4189.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_4096.webp,0.804577
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Sabato Kaine 4-4/Sabato Kaine 4-4 RAW/CRW_0219.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Sabato Kaine 4-4/Sabato Kaine 4-4 RAW/CRW_0260.webp,0.804575
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/BlurRidgeHosp/Blue Ridge Hos RAW/NW9M0257.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/BlurRidgeHosp/BRH_09sm_DA.webp,0.804573
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/DSC_0076.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/DSC_0080.webp,0.804569
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Art MuseumMasofEurDrawgs/Cville Mayor David Brown DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Art MuseumMasofEurDrawgs/Besancon Mayor 01 DA.webp,0.804554
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Gear Up RAW/NW9M8766.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Gear Up RAW/NW9M8754.webp,0.804451
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/McIntire Ground Breaking 4-15/McIntire Ground Breaking RAW/CRW_1522.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/McIntire Ground Breaking 4-15/McIntire Ground Breaking RAW/CRW_1520.webp,0.804449
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Resource Fair RAW/CRW_2071.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Resource Fair RAW/CRW_2072.webp,0.804430
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5511.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 6-05/Grounds and Rotunda 6-05 RAW/NW9M5510.webp,0.804326
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Dogwood Gardens 4-05 RAW/CRW_2301.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 9-05/9-1-05 - Students Lampkin Pav III RAW/9-1-05 RAW/NW9M1488.webp,0.804304
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Stones Tickets/Stones Tickets RAW/NW9M2064.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Stones Tickets/Stones Tickets RAW/NW9M2069.webp,0.804300
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/BlurRidgeHosp/Blue Ridge Hos RAW/NW9M0217.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 7-05/Storm 7-05/Storm 7-05 RAW/NW9M7828.webp,0.804237
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Snow 12-5-05/UVa Snow 2005 HR/UVa_Snow_2005_04HR_DA.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Snow 12-5-05/UVa Snow 2005 HR/UVa_Snow_2005_03HR_DA.webp,0.804163
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 10-05/Rotunda Brick Walk/NW9M5090.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Rainey and FischKorn/Rainey and Fishkorn RAW/NW9M3307.webp,0.804151
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Lighting of the Lawn 2005/NW9M0038.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 12-05/Snow 12-5-05/NW9M0164.webp,0.804148
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/DSC_0010.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/DSC_0014.webp,0.804104
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3754.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3766.webp,0.804103
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Art Museum RAW/CRW_0596.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 4-05/Art Museum RAW/CRW_0589.webp,0.804096
/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Final Exercises 2005/Grad 05 JL 10D RAW/_MG_3863.webp,/Volumes/easystore/work/Addison_2018/Volumes/lib_content107/Addison_2018/Shoots 2005//Shoots 5-05/Grad Story Photos 05/Isabelle Stanton/Isabelle Stanton RAW/NW9M0493.webp,0.804054
